Name,Short Name,Description,Types,Latitude,Longitude
224,224_1,,Point Count Point,40.11670611,-121.1237192
224,224_2,,Point Count Point,40.11416434,-121.1230851
224,224_3,,Point Count Point,40.11260133,-121.1216967
224,224_4,,Point Count Point,40.11037554,-121.1222155
224,224_5,,Point Count Point,40.10823359,-121.1217934
224,224_6,,Point Count Point,40.10611752,-121.1213002
224,224_7,,Point Count Point,40.10969628,-121.1175528
224,224_8,,Point Count Point,40.11196854,-121.1176778
224,224_9,,Point Count Point,40.11393502,-121.1178348
224,224_10,,Point Count Point,40.11607431,-121.1180926
224,224_11,,Point Count Point,40.1182935,-121.1182778
224,224_12,,Point Count Point,40.12034273,-121.1185381
313,313_1,,Point Count Point,40.13138555,-121.0211016
313,313_2,,Point Count Point,40.13022784,-121.0250551
313,313_3,,Point Count Point,40.1294276,-121.0277894
313,313_4,,Point Count Point,40.12977943,-121.0309949
313,313_5,,Point Count Point,40.12789096,-121.0333145
313,313_6,,Point Count Point,40.12708933,-121.0359781
313,313_7,,Point Count Point,40.12296275,-121.0338204
313,313_8,,Point Count Point,40.12367249,-121.0310539
313,313_9,,Point Count Point,40.12439217,-121.0283457
313,313_10,,Point Count Point,40.12514781,-121.0256364
313,313_11,,Point Count Point,40.12593879,-121.0228909
313,313_12,,Point Count Point,40.12667508,-121.0201117
314,314_1,,Point Count Point,40.06736078,-121.0997239
314,314_2,,Point Count Point,40.06826504,-121.0960872
314,314_3,,Point Count Point,40.06855943,-121.093171
314,314_4,,Point Count Point,40.06891775,-121.0903116
314,314_5,,Point Count Point,40.06944592,-121.0873771
314,314_6,,Point Count Point,40.06957355,-121.0841958
314,314_7,,Point Count Point,40.06562046,-121.0832161
314,314_8,,Point Count Point,40.06521885,-121.0861704
314,314_9,,Point Count Point,40.06481657,-121.0890895
314,314_10,,Point Count Point,40.0642349,-121.0920605
314,314_11,,Point Count Point,40.0638162,-121.0950855
314,314_12,,Point Count Point,40.06347635,-121.0979793
322,322_1,,Point Count Point,40.10309561,-121.0262392
